"places";"postcode"
"Aach,Eisenach,Gilzem,Höhjunk,Igel,Orenhofen,Welschbillig";"54298"
"Aach";"78267,54298"
"Aachen";"52062,52064,52066,52068,52070,52072,52074,52076,52078,52080,52062,52064,52066,52068,52070,52072,52074,52076,52078,52080"
"Aalen";"73430,73431,73432,73433,73430,73431,73432,73433"
"Aalen,Untersiegenbühl";"73434"
"Aarbergen,Sandersmühle";"65326"
"Aasbüttel,Agethorst,Bokhorst,Hadenfeld,Kaisborstel,Oldenborstel,Pöschendorf,Puls,Schenefeld,Siezbüttel,Warringholz";"25560"
"Abbau Ader,Altensalzwedel,Benkendorf,Bierstedt,Binde,Dambeck,Eversdorf,Fleetmark,Gischau,Groß Chüden,Jeggeleben,Kaulitz,Kerkau,Klein Gartz,Kuhfelde,Liesten,Mahlsdorf,Mechau,Pretzier,Püggen,Rademin,Riebau,Siedenlangenbeck,Stappenbeck,Steinitz,Valfitz,Vissum,Winterfeld";"29416"
"Abbendorf,Bälow,Bentwisch,Breese,Cumlosen,Garsedow,Gnevsdorf,Groß Breese,Hermannshof,Hinzdorf,Karlsruhe,Klein Leppin,Klein Lüben,Kuhberg,Kuhblank,Lindenberg,Lütjenheide,Motrich,Müggendorf,Plattenburg Forsthaus,Rühstädt,Sandkrug,Schadebeuster,Schilde,Weisen,Wentdorf,Wittenberge,Zwischendeich";"19322"
"Abbenrode,Darlingerode,Drübeck,Ilsenburg,Langeln,Stapelburg,Veckenstedt,Wasserleben";"38871"
"Abberode,Alterode,Braunschwende,Friesdorf,Harkerode,Hermerode,Molmerswende,Pansfelde,Ritzgerode,Stangerode,Ulzigerode,Wieserode,Wippra";"06543"
"Abenberg";"91183,91183"
"Abend,Höfgen,Klessig,Kreißa,Leuben-Schleinitz,Lommatzsch,Mutzschwitz,Noßlitz,Oberstößwitz,Pinnewitz,Priesen,Raußlitz,Rüsseina,Stahna,Ziegenhain";"01623"
"Abensberg";"93326,93326"
"Abentheuer,Achtelsbach,Brücken,Buhlenberg,Gimbweiler,Gollenberg,Hattgenstein,Kronweiler,Leisel,Meckenbach,Niederbrombach,Niederhambach,Nohen,Oberbrombach,Rinzenberg,Rötsweiler-Nockenthal,Schwollen,Siesbach,Sonnenberg-Winnenberg,Wilzenberg-Hußweiler";"55767"
"Abraham,Passau";"94036"
"Absberg";"91720,91720"
"Abstatt";"74232,74232"
"Abtlöbnitz,Bad Kösen,Crölpa-Löbschütz,Möllern,Spielberg,Taugwitz";"06628"
